repo_name,agent_name,role_description,context,tool_definitions,input,actions,security_disclaimer,constraints_restrictions,task_description_workflow,in_context_examples,output,external_information,placeholder,extra_codes
Deluxer_oliva,ASSISTANT_SYSTEM - Main AI Assistant Role,1,0,0,0,1,0,1,0,0,0,0,0,
Deluxer_oliva,GRADE_DOCUMENTS_PROMPT - Document Relevance Grader (Primary Version),1,0,0,1,0,0,1,1,0,1,0,1,
Deluxer_oliva,GRADE_DOCUMENTS_PROMPT_OPT_2 - Document Relevance Grader (Alternative Version),1,0,0,1,0,0,0,1,1,1,0,1,
Deluxer_oliva,BLOG_SEARCH_PROMPT - Blog Search Assistant,1,0,1,0,1,0,0,0,0,0,0,0,
Deluxer_oliva,AMAZON_SEARCH_PROMPT - Product Search Assistant,1,0,1,0,1,0,1,0,0,0,0,0,
Deluxer_oliva,NO_RESULTS_PROMPT - No Results Response Generator,1,0,0,1,0,0,0,1,0,1,0,1,
Deluxer_oliva,AGENT_PROMPT_BY_SUPERLINKED - Product Search Agent (Superlinked Version),1,0,1,0,1,0,0,0,0,0,0,0,
Deluxer_oliva,AGENT_PROMPT_BY_JSON - Product Search Agent (JSON Version),1,0,1,0,1,0,0,0,0,0,0,0,
Deluxer_oliva,SUPERVISOR_SYSTEM_PROMPT - Supervisor Agent (Dynamic Generation),1,1,0,0,1,0,1,1,0,1,0,1,
FinStep-AI_ContestTrade,RESEARCH PLAN GENERATOR - Task Planning,0,1,1,1,1,0,1,1,0,1,1,1,
FinStep-AI_ContestTrade,RESEARCH TOOL SELECTOR - Tool Selection & Execution,0,1,1,1,1,0,1,1,0,1,1,1,"tool_development_guidance: Explicit instructions and criteria for proposing new tool development if current tools are insufficient, including examples of possible new tools."
FinStep-AI_ContestTrade,RESEARCH RESULT WRITER - Result Compilation & Synthesis,0,1,1,1,1,0,1,1,0,1,1,1,
FinStep-AI_ContestTrade,DATA ANALYSIS SUMMARY DOCUMENT - Financial Document Summarization,0,1,0,1,1,0,1,1,0,1,1,1,
FinStep-AI_ContestTrade,DATA ANALYSIS FILTER DOCUMENT - Document Selection & Filtering,0,1,0,1,1,0,1,1,0,1,1,1,
FinStep-AI_ContestTrade,DATA ANALYSIS MERGE SUMMARY - Multi-Document Summary Consolidation,0,1,0,1,1,0,1,1,0,1,1,1,
FinStep-AI_ContestTrade,RESEARCH INVESTMENT ANALYZER - Investment Opportunity Analysis,1,0,0,0,1,0,1,1,0,0,1,0,
FinStep-AI_ContestTrade,SYMBOL RETRIEVAL FORMAT - Stock/Asset Symbol Structure,0,0,0,0,0,0,0,0,0,1,0,1,
FinStep-AI_ContestTrade,RESEARCH INVESTMENT OUTPUT FORMAT - Signal Submission Structure,0,0,0,0,0,0,0,0,0,1,0,1,
HKUDS_AI-Trader,GENERAL STOCK TRADING AGENT - US Market (NASDAQ-100),1,0,0,1,1,0,1,1,0,1,0,1,
HKUDS_AI-Trader,CRYPTOCURRENCY TRADING AGENT - Digital Assets (Multi-Crypto Portfolio),1,0,0,1,1,0,1,1,0,1,0,1,
InternScience,CODER_PROMPT_AIDER - Aider-based Code Implementation Agent,1,0,0,1,1,0,1,1,1,0,0,1,
InternScience,CODER_PROMPT_OPENHANDS - OpenHands-based Code Implementation Agent,1,0,0,1,1,0,1,1,0,0,0,1,
InternScience,CODE_STRUCTURE_PROMPT - Code Structure Analysis Agent,1,0,0,1,0,0,0,1,0,0,0,1,
InternScience,DEBUG_PROMPT_WITH_STRUCTURE - Code Debugger Agent,1,1,0,1,1,0,1,1,0,0,0,1,
InternScience,NEXT_EXPERIMENT_PROMPT - Iterative Experiment Loop Agent,1,0,0,1,1,0,1,1,0,0,0,1,
KodyKendall_LlamaBot,RAILS_AGENT_PROMPT (Rails Engineer/Product Advisor),1,1,1,0,1,1,1,1,1,1,1,1,
KodyKendall_LlamaBot,RAILS_AI_BUILDER_AGENT_PROMPT (LangGraph Agent Architect),1,1,1,0,1,1,1,1,1,1,1,1,
KodyKendall_LlamaBot,RAILS_FRONTEND_STARTER_AGENT_PROMPT (Front-End Designer/Product Advisor),1,1,1,0,1,1,1,1,1,1,1,1,"design_vision_specification: A required, highly structured design vision section that specifies color palette, layout, component inventory, iconography, interaction/motion design, user flow, and emotional design goal. This is distinct from general task description or workflow, as it is a formal, user-facing design artifact.; mandatory_structured_completion_message: A required, user-facing message format (🧩 Summary, ⚙️ Key effects, 👋 Next Steps) that must be used after any work session with changes. This is a unique, enforced output protocol not covered by standard output formatting."
KodyKendall_LlamaBot,RAILS_QA_SOFTWARE_ENGINEER_PROMPT (QA/Test Builder),1,1,1,0,1,1,1,1,1,1,1,1,"bug_fixing_protocol: A detailed, stepwise protocol for when and how to fix bugs revealed by tests, including rules for minimal changes, verification, and reporting. This is distinct from general workflow or constraints, as it governs a specific, conditional mode of operation."
KodyKendall_LlamaBot,USER_FEEDBACK_AGENT_PROMPT (Feedback/Requirements Brainstorming Partner),1,1,0,0,1,1,1,1,1,1,1,0,"workspace_structure_management: Explicit, detailed instructions for creating, organizing, and maintaining a requirements workspace folder/file structure, including file purposes and templates. This is distinct from general workflow, as it governs persistent document organization and not just agent actions.; shape_up_methodology_embedding: Embedding of the Shape Up methodology as a requirements management protocol, including translation of internal concepts to user-friendly language and explicit forbidden vocabulary. This is distinct from standard workflow as it is a meta-process for requirements shaping and communication."
LeapLabTHU_cooragent,COORDINATOR,1,0,0,0,1,0,1,1,1,1,0,0,
LeapLabTHU_cooragent,AGENT FACTORY,1,0,1,1,1,0,1,1,0,1,0,1,
LeapLabTHU_cooragent,AGENT FACTORY PLANNER,1,1,0,1,1,0,1,1,0,1,1,1,
LeapLabTHU_cooragent,PLANNER,1,1,0,1,1,0,1,1,0,1,1,1,
LeapLabTHU_cooragent,PUBLISHER,1,0,0,1,1,0,1,1,0,1,0,1,
LeapLabTHU_cooragent,RESEARCHER,1,0,1,1,1,0,1,1,0,1,0,1,
LeapLabTHU_cooragent,CODER,1,0,1,1,1,0,1,1,0,1,0,1,
LeapLabTHU_cooragent,BROWSER,1,0,1,1,1,0,1,1,1,0,0,1,
LeapLabTHU_cooragent,REPORTER,1,0,0,1,1,0,1,1,0,1,0,1,
LeapLabTHU_cooragent,AGENT POLISH,1,0,1,1,1,0,1,1,0,1,0,1,
LeapLabTHU_cooragent,FILE MANAGER,1,0,0,0,0,0,1,1,0,1,0,1,
LeapLabTHU_cooragent,HTML GENERATOR,1,0,1,1,1,0,1,1,0,0,0,1,
NL2Code_CodeR,EDITOR/PROGRAMMER - Autonomous code editor for issue resolution,1,0,1,1,1,0,1,1,1,1,0,1,
NL2Code_CodeR,FAULT_LOCALIZER/DEBUGGER - Issue analysis and fault localization,1,0,1,1,1,0,1,1,1,1,0,1,
NL2Code_CodeR,MANAGER - Team coordination and issue resolution planning,1,0,1,1,1,0,1,1,1,1,0,1,"plan_selection_guidance: Contains explicit rules and heuristics for selecting among predefined plans, distinct from general workflow or constraints."
NL2Code_CodeR,REPRODUCER - Bug reproduction and test case generation,1,0,1,1,1,0,1,1,1,1,0,1,
NL2Code_CodeR,VERIFIER/TESTER - Test execution and verification,1,0,1,1,1,0,1,1,1,1,0,1,
Polymarket_agents,MARKET ANALYST - Event Probability Forecasting,1,0,0,1,0,0,0,1,0,0,0,1,
Polymarket_agents,SENTIMENT ANALYZER - Political Media Sentiment Analysis,1,0,0,1,0,0,0,1,0,0,0,1,
Polymarket_agents,POLYMARKET LLM ASSISTANT - Market Information Helper (4 Parameters Version),1,1,0,1,0,0,0,1,0,1,0,1,
Polymarket_agents,POLYMARKET LLM ASSISTANT - Market Information Helper (2 Parameters Version),1,1,0,1,0,0,0,1,0,0,0,1,
Polymarket_agents,ROUTING - Question Router,1,0,0,1,1,0,0,0,0,0,0,1,
Polymarket_agents,MULTIQUERY - Multi-Perspective Question Generator,1,0,0,1,1,0,0,1,0,1,0,1,
Polymarket_agents,READ POLYMARKET - Prediction Market Analyst,1,0,0,0,0,0,0,0,0,0,0,0,
Polymarket_agents,POLYMARKET ANALYST API - Market Data Analyzer,1,0,0,1,0,0,0,1,0,0,0,0,
Polymarket_agents,FILTER EVENTS - Event Filtering for Profitability,1,0,0,1,1,0,0,1,0,0,0,0,
Polymarket_agents,FILTER MARKETS - Market Filtering for Profitability,1,0,0,1,1,0,0,1,0,0,0,0,
Polymarket_agents,SUPERFORECASTER - Event Probability Prediction Framework,1,1,0,1,0,0,0,1,0,1,0,1,
Polymarket_agents,ONE BEST TRADE - Elite Trader Strategy Framework,1,1,0,1,1,0,0,1,1,1,0,1,
Polymarket_agents,FORMAT PRICE EXTRACTION - Price Parsing Helper,0,0,0,1,1,0,1,1,1,1,0,0,
Polymarket_agents,FORMAT SIZE EXTRACTION - Size Parsing Helper,0,0,0,1,1,0,1,1,1,1,0,0,
Polymarket_agents,CREATE NEW MARKET - Market Generation Framework,0,1,0,1,1,0,1,1,1,1,1,1,
Polymarket_agents,SIMPLE AI TRADER - Basic Trading Decision Prompt,1,1,0,1,1,0,0,1,0,0,0,1,
SalesforceAIResearch_enterprise-deep-research,query_writer_instructions,1,1,1,1,1,0,1,1,1,1,1,1,
SalesforceAIResearch_enterprise-deep-research,summarizer_instructions,1,1,0,1,1,0,1,1,1,1,1,1,
SalesforceAIResearch_enterprise-deep-research,reflection_instructions,1,1,0,1,1,0,1,1,1,1,1,1,
SalesforceAIResearch_enterprise-deep-research,finalize_report_instructions,1,1,0,1,1,0,1,1,1,1,1,1,
SamuelSchmidgall_AgentLaboratory,PAPER REVIEWER AGENT - get_score() function,1,1,0,0,1,0,1,1,0,1,0,1,
SamuelSchmidgall_AgentLaboratory,BASE AGENT - inference() method,1,1,0,1,1,0,1,1,0,1,0,1,
SamuelSchmidgall_AgentLaboratory,PROFESSOR AGENT - role_description(),1,0,0,0,1,0,1,1,0,1,0,0,
SamuelSchmidgall_AgentLaboratory,POSTDOC AGENT - role_description(),1,0,0,0,1,0,1,1,0,1,0,0,
SamuelSchmidgall_AgentLaboratory,ML ENGINEER AGENT - role_description(),1,0,1,0,1,0,1,1,0,1,0,0,
SamuelSchmidgall_AgentLaboratory,SOFTWARE ENGINEER AGENT - role_description(),1,0,1,0,1,0,1,1,0,1,0,0,
SamuelSchmidgall_AgentLaboratory,PHD STUDENT AGENT - role_description(),1,1,1,0,1,0,1,1,0,1,0,1,
SamuelSchmidgall_AgentLaboratory,REVIEWS AGENT - inference() method,1,1,0,0,1,0,1,1,0,1,0,0,
SamuelSchmidgall_AgentLaboratory,ML ENGINEER SOLVER (MLESolver) - system_prompt() method,1,1,1,1,1,0,1,1,0,1,0,1,"reflection_prompts: Distinct prompts for agent self-reflection after errors or successful/unsuccessful code execution, guiding the agent to analyze and improve its own outputs."
SamuelSchmidgall_AgentLaboratory,ML SOLVER - Code Repair System Prompt (Replace mode),1,0,0,1,1,0,1,1,0,1,0,1,
SamuelSchmidgall_AgentLaboratory,ML SOLVER - Code Repair System Prompt (Edit mode),1,0,1,1,1,0,1,1,0,1,0,1,
SamuelSchmidgall_AgentLaboratory,REWARD MODEL - Scoring System Prompt,1,0,0,1,1,0,1,1,0,1,0,1,
SamuelSchmidgall_AgentLaboratory,PAPER SOLVER - system_prompt() method,1,1,1,1,1,0,1,1,0,1,0,1,"section_specific_prompts: Distinct prompts and tips for each paper section (Abstract, Introduction, etc.), guiding the agent's output structure and content for each part."
SamuelSchmidgall_AgentLaboratory,ARXIV SEARCH TOOL - Command Docstring,0,0,1,0,1,0,1,1,0,0,0,0,
SkyworkAI_DeepResearchAgent,GENERAL AGENT - Core tool-calling agent framework,1,0,1,1,1,0,1,1,1,1,0,1,"managed_agent_templates: Contains templates for managed agent task instructions, agent reports, and fallback handling, which are reusable prompt scaffolds for agent-to-agent communication."
SkyworkAI_DeepResearchAgent,BROWSER USE AGENT - Web browsing and interaction agent,1,0,1,1,1,0,1,1,1,1,0,1,
SkyworkAI_DeepResearchAgent,DEEP ANALYZER AGENT - File and data analysis agent,1,0,1,1,1,0,1,1,1,1,0,1,
SkyworkAI_DeepResearchAgent,DEEP RESEARCHER AGENT - Web research and archival agent,1,0,1,1,1,0,1,1,1,1,0,1,
SkyworkAI_DeepResearchAgent,PLANNING AGENT - Task planning and delegation agent,1,0,1,1,1,0,1,1,1,1,0,1,
TauricResearch_TradingAgents,FUNDAMENTALS ANALYST - Company Fundamental Analysis,1,0,1,1,1,0,1,1,0,1,1,1,
TauricResearch_TradingAgents,MARKET ANALYST - Technical Market Analysis,1,0,1,1,1,0,1,1,0,1,1,1,
TauricResearch_TradingAgents,NEWS ANALYST - Recent News and Trends Analysis,1,0,1,1,1,0,1,1,0,1,1,1,
TauricResearch_TradingAgents,SOCIAL MEDIA ANALYST - Social Media and Sentiment Analysis,1,0,1,1,1,0,1,1,0,1,1,1,
TauricResearch_TradingAgents,RESEARCH MANAGER - Portfolio Manager Decision Making,1,1,0,1,1,0,1,1,0,1,0,1,
TauricResearch_TradingAgents,RISK MANAGER - Risk Assessment and Adjusted Decision Making,1,1,0,1,1,0,1,1,0,1,0,1,
TauricResearch_TradingAgents,BEAR RESEARCHER - Bearish Investment Argument,1,1,0,1,1,0,1,1,0,1,0,1,
TauricResearch_TradingAgents,BULL RESEARCHER - Bullish Investment Argument,1,1,0,1,1,0,1,1,0,1,0,1,
TauricResearch_TradingAgents,RISKY DEBATOR (AGGRESSIVE) - High-Risk Strategy Advocacy,1,1,0,1,1,0,1,1,0,1,0,1,
TauricResearch_TradingAgents,SAFE DEBATOR (CONSERVATIVE) - Low-Risk Strategy Advocacy,1,1,0,1,1,0,1,1,0,1,0,1,
TauricResearch_TradingAgents,NEUTRAL DEBATOR - Balanced Risk Strategy Advocacy,1,1,0,1,1,0,1,1,0,1,0,1,
TauricResearch_TradingAgents,TRADER - Final Investment Decision Making,1,1,0,1,1,0,1,1,0,1,0,1,
Y-Research-SBU_QuantAgent,INDICATOR_AGENT - Technical Indicator Analysis,1,0,1,1,1,0,1,1,0,0,0,1,
Y-Research-SBU_QuantAgent,PATTERN_AGENT (Tool Generation Phase) - Candlestick Pattern Recognition (Image Generation),1,0,1,1,1,0,0,1,0,0,0,1,"message_chain_placeholder: Mentions use of MessagesPlaceholder for dynamic message chain, which is a system-specific runtime mechanism for chaining agent outputs."
Y-Research-SBU_QuantAgent,PATTERN_AGENT (Vision Analysis Phase) - Candlestick Pattern Recognition (Image Analysis),1,0,0,1,1,0,1,1,1,1,0,1,"pattern_reference_list: Provides a detailed, enumerated list of classic candlestick patterns as reference for the agent's analysis, functioning as a domain-specific knowledge base."
Y-Research-SBU_QuantAgent,TREND_AGENT (Tool Generation Phase) - Trend Analysis (Image Generation),1,0,1,1,1,0,1,1,0,0,0,1,
Y-Research-SBU_QuantAgent,TREND_AGENT (Vision Analysis Phase) - Trend Analysis (Image Analysis),1,0,0,1,1,0,1,1,0,1,0,1,"trendline_color_legend: Explicitly defines the meaning of chart colors (blue = support, red = resistance), which is a visual legend for the agent's reference."
Y-Research-SBU_QuantAgent,DECISION_AGENT - Final Trade Decision Making,1,1,0,1,1,0,1,1,0,1,1,1,"report_integration_guidance: Provides explicit instructions on how to integrate and weigh the outputs of three upstream agents (indicator, pattern, trend), which is a meta-orchestration policy."
assafelovic_gpt-researcher,EDITOR AGENT - Research Planning Prompt,1,0,0,1,0,0,1,1,0,1,1,1,
assafelovic_gpt-researcher,REVIEWER AGENT - Draft Review Prompt,1,1,0,1,1,0,1,1,0,1,0,1,
assafelovic_gpt-researcher,REVISOR AGENT - Draft Revision Prompt,1,1,0,1,1,0,1,1,0,1,0,1,
assafelovic_gpt-researcher,WRITER AGENT - Writing Sections Prompt,1,0,0,1,0,0,1,1,0,1,1,1,
assafelovic_gpt-researcher,WRITER AGENT - Revising Headers Prompt,1,0,0,1,0,0,1,1,0,1,0,1,
autogluon_autogluon-assistant,BASE PROMPT - Meta-Prompting Prompt,1,0,0,1,1,0,1,1,0,1,0,1,
autogluon_autogluon-assistant,BASH CODER PROMPT - Bash Script Generation,1,0,0,1,1,0,1,1,0,1,0,1,
autogluon_autogluon-assistant,CHAT PROMPT - Conversational Q&A,1,1,0,1,1,0,1,1,0,1,0,1,
autogluon_autogluon-assistant,DESCRIPTION FILE RETRIEVER PROMPT - File Identification,1,0,0,1,1,0,1,1,0,1,0,1,
autogluon_autogluon-assistant,ERROR ANALYZER PROMPT - Error Analysis,1,0,0,1,1,0,1,1,0,1,0,1,
autogluon_autogluon-assistant,EXECUTER PROMPT - Code Execution Evaluation,1,0,0,1,1,0,1,1,0,1,0,1,
autogluon_autogluon-assistant,PYTHON CODER PROMPT - Python Code Generation,1,1,1,1,1,0,1,1,0,1,0,1,
autogluon_autogluon-assistant,PYTHON READER PROMPT - File Reading and Analysis,1,0,0,1,1,0,1,1,0,1,0,1,
autogluon_autogluon-assistant,RERANKER PROMPT - Tutorial Selection,1,0,0,1,1,0,1,1,0,1,0,1,
autogluon_autogluon-assistant,RETRIEVER PROMPT - Search Query Generation,1,0,0,1,1,0,1,1,0,1,0,1,
autogluon_autogluon-assistant,TASK DESCRIPTOR PROMPT - Task Description Generation,1,0,0,1,1,0,1,1,0,1,0,1,
autogluon_autogluon-assistant,TOOL SELECTOR PROMPT - ML Library Selection,1,0,1,1,1,0,1,1,0,1,0,1,
